instance,n,m,ratio_1,ratio_2,density,min_degree,max_degree,avg_degree,med_degree,25Q_degree,75Q_degree,cv_degree,entropy_degree,min_clique,max_clique,med_clique,Q25_clique,Q75_clique,cv_clique,entropy_clique,clique_time,max_card_clique,min_cluster_coeff,max_cluster_coeff,med_cluster_coeff,Q25_cluster_coeff,Q75_cluster_coeff,cv_cluster_coeff,entropy_cluster_coeff,min_cluster_wcoeff,max_cluster_wcoeff,med_cluster_wcoeff,Q25_cluster_wcoeff,Q75_cluster_wcoeff,cv_cluster_wcoeff,entropy_cluster_wcoeff,cluster_coeff_time,DSATUR_n_colors,DSATUR_time,DSATUR_min_size,DSATUR_max_size,DSATUR_mean_size,DSATUR_med_size,DSATUR_Q25_size,DSATUR_Q75_size,DSATUR_vc_size,DSATUR_entropy_size,time
random_graph_3_100_0.35_10_2.col,100,2573,0.04,25.73,0.52,27,68,51,55,42,61,0.22,0.94,0.09,0.1,0.1,0.1,0.1,0.0,0.0,0,10,0,0,0.74,0.68,0.82,0.12,0.0,24,48,38.74,33.75,42.05,0.14,0.93,0,19,0,1,4,2,3,2,3,0.44,0.91,0.0
random_graph_1_100_0.9_0_2.col,100,4496,0.02,44.96,0.91,81,95,89,90,88,92,0.03,0.93,0.22,0.28,0.25,0.24,0.25,0.0,0.01,0,28,0,0,0.91,0.91,0.91,0.0,0.0,73,86,81.83,79.95,83.48,0.03,0.9,0,46,0,1,3,2,2,2,2,0.26,0.71,0.0
random_graph_1_100_0.1_10_2.col,100,463,0.22,4.63,0.09,4,18,9,9,7,11,0.32,0.87,0.02,0.03,0.03,0.02,0.03,0.0,0.01,0,3,0,0,0.08,0.05,0.11,0.64,0.0,0,2,0.77,0.44,1.16,0.63,0.65,0,6,0,1,4,3,3,3,3,0.33,0.92,0.0
random_graph_4_1000_0.5_50_4.col,1000,239214,0.0,239.21,0.48,378,547,478,483,467,497,0.06,0.93,0.01,0.01,0.01,0.01,0.01,0.0,0.0,1,12,0,0,0.48,0.48,0.48,0.01,0.0,183,262,231.22,223.55,237.89,0.05,0.91,16,113,38,2,3,2,2,2,2,0.15,0.46,57.0
random_graph_4_500_0.9_100_1.col,500,111157,0.0,222.31,0.89,420,463,444,445,440,449,0.02,0.9,0.06,0.08,0.07,0.07,0.07,0.0,0.0,1,40,0,0,0.89,0.89,0.89,0.0,0.0,374,412,396.57,392.06,400.3,0.02,0.9,4,171,7,2,3,2,2,2,2,0.08,0.16,14.0
random_graph_3_100_0.05_20_2.col,100,448,0.22,4.48,0.09,4,16,8,8,7,11,0.33,0.89,0.04,0.09,0.06,0.05,0.08,0.0,0.01,0,9,0,0,0.73,0.67,0.81,0.16,0.0,2,11,5.69,4.8,8.0,0.34,0.88,0,11,0,1,5,3,4,3,4,0.39,0.88,0.0
random_graph_1_250_0.1_0_2.col,250,3103,0.08,12.41,0.1,13,37,24,25,22,28,0.18,0.89,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,4,0,0,0.1,0.09,0.11,0.17,0.0,0,3,2.44,2.0,2.88,0.24,0.71,0,11,0,3,6,4,5,4,5,0.2,0.84,0.0
random_graph_4_100_0.5_10_1.col,100,2235,0.04,22.35,0.45,33,63,44,44,42,47,0.11,0.91,0.03,0.07,0.05,0.05,0.06,0.0,0.01,0,7,0,0,0.45,0.44,0.46,0.03,0.0,14,27,19.84,18.58,21.34,0.11,0.85,0,18,0,3,4,3,3,3,4,0.17,1.0,0.0
random_graph_3_100_0.7_10_4.col,100,3841,0.03,38.41,0.78,51,96,76,77,69,89,0.16,0.88,0.09,0.1,0.1,0.1,0.1,0.0,0.0,0,10,0,0,0.8,0.76,0.82,0.04,0.0,43,73,61.8,55.91,67.03,0.13,0.86,0,18,0,1,4,2,2,1,2,0.49,0.92,0.0
random_graph_3_100_0.35_0_4.col,100,2936,0.03,29.36,0.59,33,75,58,61,48,71,0.22,0.93,0.34,0.4,0.35,0.35,0.38,0.0,0.01,0,40,0,1,0.81,0.76,0.93,0.11,0.14,33,55,49.55,44.53,53.16,0.12,0.91,0,42,0,1,3,2,2,2,3,0.26,0.67,0.0
random_graph_1_100_0.9_10_1.col,100,4052,0.02,40.52,0.82,74,89,81,81,78,84,0.05,0.94,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0,10,0,0,0.81,0.81,0.81,0.0,0.0,59,71,65.74,63.13,67.74,0.05,0.94,0,19,0,1,3,2,2,2,3,0.37,0.96,0.0
random_graph_1_100_0.5_20_4.col,100,2339,0.04,23.39,0.47,29,61,46,46,43,51,0.12,0.91,0.04,0.08,0.06,0.05,0.07,0.0,0.01,0,8,0,0,0.47,0.46,0.48,0.03,0.0,14,27,22.24,20.51,23.73,0.11,0.85,0,18,0,2,4,3,3,3,4,0.19,0.78,0.0
random_graph_1_250_0.1_50_1.col,250,3043,0.08,12.17,0.1,11,36,24,24,20,28,0.2,0.91,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.08,0.11,0.21,0.0,0,4,2.38,1.92,2.85,0.27,0.65,0,10,0,2,4,3,3,3,3,0.18,0.73,0.0
random_graph_4_100_0.9_20_4.col,100,4113,0.02,41.13,0.83,65,92,82,84,79,87,0.07,0.92,0.11,0.17,0.15,0.14,0.15,0.0,0.01,0,17,0,0,0.83,0.82,0.83,0.01,0.0,54,76,69.04,64.99,71.56,0.07,0.91,0,29,0,1,3,2,2,2,2,0.25,0.68,0.0
random_graph_1_500_0.1_0_2.col,500,12533,0.04,25.07,0.1,30,74,50,50,46,55,0.13,0.89,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.1,0.11,0.09,0.0,3,8,5.04,4.52,5.57,0.16,0.68,0,16,0,3,6,4,5,4,6,0.26,0.94,1.0
random_graph_4_1000_0.9_0_4.col,1000,449550,0.0,449.55,0.9,865,930,899,900,893,906,0.01,0.9,0.04,0.05,0.05,0.04,0.05,0.0,0.0,12,53,0,0,0.9,0.9,0.9,0.0,0.0,778,836,809.67,803.74,815.23,0.01,0.89,47,324,62,2,5,2,3,2,3,0.33,0.68,124.0
random_graph_1_250_0.9_50_2.col,250,27555,0.01,110.22,0.89,209,234,220,220,217,224,0.02,0.92,0.09,0.12,0.11,0.11,0.11,0.0,0.0,0,30,0,0,0.88,0.88,0.89,0.0,0.0,184,206,194.86,192.05,198.19,0.02,0.91,0,90,0,1,4,2,3,2,3,0.33,0.73,1.0
random_graph_3_1000_0.05_100_2.col,1000,47937,0.02,47.94,0.1,46,121,95,98,90,103,0.13,0.88,0.03,0.05,0.04,0.04,0.04,0.0,0.0,20,49,0,0,0.74,0.72,0.77,0.08,0.0,45,87,72.88,67.82,76.21,0.1,0.89,0,56,7,2,7,4,5,4,5,0.22,0.71,28.0
random_graph_1_500_0.9_25_3.col,500,102955,0.0,205.91,0.83,336,458,411,428,406,439,0.09,0.95,0.04,0.05,0.04,0.04,0.05,0.0,0.0,0,25,0,0,0.82,0.82,0.83,0.02,0.0,286,378,350.39,332.79,360.32,0.08,0.95,4,64,6,1,6,2,2,2,3,0.4,0.66,12.0
random_graph_4_250_0.9_25_3.col,250,25770,0.01,103.08,0.83,166,230,206,213,202,219,0.09,0.95,0.07,0.09,0.08,0.08,0.08,0.0,0.0,0,23,0,0,0.82,0.82,0.83,0.02,0.0,141,190,175.45,165.78,180.56,0.08,0.93,0,47,0,1,3,2,2,2,2,0.19,0.44,1.0
random_graph_1_100_0.5_0_1.col,100,2524,0.04,25.24,0.51,40,63,50,51,47,54,0.09,0.92,0.04,0.08,0.07,0.06,0.07,0.0,0.01,0,8,0,0,0.51,0.5,0.52,0.02,0.0,20,32,25.48,24.25,27.34,0.09,0.87,0,21,0,2,5,3,3,3,4,0.24,0.79,0.0
random_graph_3_250_0.05_50_4.col,250,2982,0.08,11.93,0.1,6,35,23,25,20,28,0.24,0.92,0.02,0.06,0.05,0.04,0.06,0.0,0.0,0,15,0,0,0.73,0.68,0.77,0.1,0.0,5,23,18.0,14.8,20.21,0.21,0.94,0,19,0,1,5,3,4,3,4,0.36,0.65,0.0
random_graph_1_1000_0.5_100_1.col,1000,247607,0.0,247.61,0.5,446,554,495,496,484,506,0.03,0.93,0.01,0.01,0.01,0.01,0.01,0.0,0.0,1,12,0,0,0.5,0.49,0.5,0.0,0.0,220,273,245.76,239.77,250.66,0.03,0.9,17,123,38,2,5,3,3,3,4,0.27,0.85,58.0
random_graph_4_250_0.5_50_2.col,250,15260,0.02,61.04,0.49,95,145,122,122,117,127,0.06,0.92,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,10,0,0,0.49,0.49,0.49,0.01,0.0,46,71,60.01,57.52,62.42,0.06,0.9,0,39,0,2,4,2,3,2,3,0.32,0.88,0.0
random_graph_1_1000_0.1_0_4.col,1000,49653,0.02,49.65,0.1,64,135,99,99,92,105,0.1,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.1,0.1,0.04,0.0,6,13,9.85,9.14,10.54,0.11,0.72,0,27,8,2,5,3,4,3,5,0.28,0.86,9.0
random_graph_1_250_0.5_25_3.col,250,14419,0.02,57.68,0.46,80,142,115,118,108,124,0.11,0.93,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,9,0,0,0.46,0.46,0.47,0.02,0.0,37,66,54.17,50.49,57.15,0.1,0.9,0,36,0,2,4,2,3,3,3,0.32,0.88,0.0
random_graph_4_500_0.5_25_3.col,500,57088,0.01,114.18,0.46,167,271,228,234,215,246,0.1,0.94,0.01,0.02,0.02,0.01,0.02,0.0,0.0,0,11,0,0,0.46,0.45,0.46,0.02,0.0,78,126,106.2,98.36,111.68,0.09,0.93,1,58,4,2,6,3,3,3,4,0.26,0.69,6.0
random_graph_1_500_0.5_0_3.col,500,62511,0.01,125.02,0.5,210,279,250,250,243,257,0.04,0.92,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,12,0,0,0.5,0.5,0.5,0.0,0.0,105,139,125.36,121.66,128.78,0.04,0.89,1,70,4,2,5,3,3,3,4,0.28,0.87,7.0
random_graph_3_1000_0.7_0_3.col,1000,449309,0.0,449.31,0.9,666,999,898,929,807,999,0.12,0.72,0.0,0.0,0.0,0.0,0.0,,0.0,600,0,0,1,0.93,0.9,0.98,0.04,0.05,666,898,863.91,786.71,898.42,0.08,0.73,48,702,59,1,2,1,1,1,2,0.49,0.98,709.0
random_graph_3_500_0.7_0_2.col,500,115099,0.0,230.2,0.92,346,499,460,485,425,499,0.1,0.69,0.69,0.74,0.72,0.72,0.72,0.0,0.0,61,369,0,1,0.93,0.92,0.98,0.03,0.09,346,460,452.98,414.05,460.24,0.07,0.7,4,369,7,1,2,1,1,1,2,0.48,0.94,74.0
random_graph_4_250_0.1_0_4.col,250,3112,0.08,12.45,0.1,13,36,24,25,22,28,0.2,0.92,0.01,0.02,0.01,0.01,0.01,0.0,0.0,0,4,0,0,0.1,0.09,0.11,0.19,0.0,1,4,2.49,2.0,2.99,0.26,0.78,0,10,0,2,4,2,3,2,3,0.32,0.86,0.0
random_graph_3_500_0.05_0_2.col,500,12652,0.04,25.3,0.1,16,66,50,52,43,58,0.2,0.91,0.02,0.08,0.06,0.05,0.07,0.0,0.0,2,42,0,1,0.76,0.72,0.79,0.08,0.09,16,51,39.58,33.15,44.44,0.2,0.92,0,42,0,2,7,4,5,4,5,0.33,0.89,3.0
random_graph_3_250_0.35_0_4.col,250,18227,0.01,72.91,0.59,80,186,145,149,121,172,0.21,0.93,0.32,0.39,0.35,0.35,0.38,0.0,0.0,2,98,0,1,0.82,0.76,0.93,0.11,0.18,80,136,124.03,110.67,131.2,0.12,0.89,0,98,0,1,3,2,3,2,3,0.27,0.71,3.0
random_graph_3_250_0.35_50_3.col,250,17508,0.01,70.03,0.56,78,182,140,141,116,169,0.21,0.96,0.14,0.17,0.15,0.15,0.17,0.0,0.0,0,43,0,0,0.8,0.72,0.9,0.11,0.0,75,129,111.5,104.27,122.07,0.11,0.94,0,61,0,1,5,2,3,2,3,0.5,0.85,1.0
random_graph_3_500_0.7_100_1.col,500,111500,0.0,223.0,0.89,321,499,446,464,401,493,0.12,0.89,0.19,0.2,0.19,0.19,0.19,0.0,0.0,5,98,0,0,0.92,0.89,0.97,0.04,0.0,317,445,427.37,388.43,440.62,0.08,0.87,4,180,6,1,6,2,2,1,3,0.49,0.72,18.0
random_graph_1_100_0.5_10_3.col,100,2152,0.05,21.52,0.43,30,59,43,43,39,48,0.15,0.94,0.04,0.07,0.05,0.05,0.06,0.0,0.01,0,7,0,0,0.43,0.41,0.44,0.05,0.0,12,25,18.49,16.3,20.22,0.15,0.89,0,14,0,2,4,2,3,2,3,0.4,1.0,0.0
random_graph_4_100_0.9_0_4.col,100,4455,0.02,44.55,0.9,81,95,89,89,87,91,0.03,0.9,0.2,0.28,0.24,0.23,0.25,0.0,0.01,0,28,0,0,0.9,0.9,0.9,0.0,0.0,72,85,80.01,78.48,82.02,0.03,0.85,0,45,0,1,2,1,2,2,2,0.25,0.35,0.0
random_graph_4_1000_0.1_100_1.col,1000,49449,0.02,49.45,0.1,72,129,98,99,92,105,0.1,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.1,0.1,0.04,0.0,6,13,9.81,9.08,10.53,0.11,0.72,0,28,8,4,6,4,5,4,5,0.15,0.79,9.0
random_graph_4_100_0.9_10_3.col,100,3781,0.03,37.81,0.76,59,90,75,78,64,85,0.13,0.94,0.09,0.1,0.1,0.1,0.1,0.0,0.0,0,10,0,0,0.75,0.74,0.78,0.03,0.0,46,67,57.74,51.01,63.44,0.11,0.96,0,21,0,1,3,2,2,2,3,0.35,0.94,0.0
random_graph_3_500_0.35_25_1.col,500,67964,0.01,135.93,0.54,155,343,271,280,223,324,0.2,0.96,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0,25,0,0,0.79,0.72,0.89,0.11,0.0,148,251,220.98,198.21,236.38,0.11,0.95,2,48,4,1,6,3,3,3,5,0.49,0.94,7.0
random_graph_4_1000_0.5_0_3.col,1000,249750,0.0,249.75,0.5,452,550,499,499,489,510,0.03,0.93,0.01,0.01,0.01,0.01,0.01,0.0,0.0,1,12,0,0,0.5,0.5,0.5,0.0,0.0,226,274,249.61,244.59,255.02,0.03,0.91,17,125,39,2,5,2,3,2,3,0.3,0.64,59.0
random_graph_4_250_0.9_0_2.col,250,28012,0.01,112.05,0.9,209,236,224,224,221,227,0.02,0.89,0.11,0.14,0.13,0.12,0.13,0.0,0.0,0,36,0,0,0.9,0.9,0.9,0.0,0.0,188,212,201.68,198.99,204.37,0.02,0.89,0,96,0,1,3,2,2,2,2,0.24,0.64,1.0
random_graph_4_500_0.1_100_4.col,500,12183,0.04,24.37,0.1,31,68,48,49,44,53,0.14,0.91,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.09,0.1,0.09,0.0,2,7,4.72,4.18,5.15,0.16,0.68,0,16,0,3,5,3,4,3,4,0.21,0.86,1.0
random_graph_3_1000_0.35_50_1.col,1000,284803,0.0,284.8,0.57,333,712,569,593,467,683,0.21,0.94,0.05,0.05,0.05,0.05,0.05,0.0,0.0,8,50,0,0,0.8,0.75,0.9,0.1,0.0,325,522,477.33,421.86,509.94,0.12,0.92,24,99,40,1,8,3,4,3,5,0.51,0.83,74.0
random_graph_4_500_0.5_0_1.col,500,62375,0.01,124.75,0.5,215,287,249,249,242,258,0.05,0.94,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,11,0,0,0.5,0.5,0.5,0.0,0.0,107,143,124.67,121.0,128.69,0.05,0.91,1,71,4,2,6,3,4,3,4,0.29,0.77,6.0
random_graph_1_500_0.5_100_3.col,500,61036,0.01,122.07,0.49,206,286,244,245,237,253,0.05,0.93,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,11,0,0,0.49,0.49,0.49,0.01,0.0,100,140,119.59,115.54,123.75,0.05,0.89,1,70,4,2,4,2,3,2,3,0.33,0.89,6.0
random_graph_4_100_0.1_0_2.col,100,495,0.2,4.95,0.1,4,16,9,10,8,11,0.32,0.92,0.02,0.04,0.03,0.02,0.03,0.0,0.01,0,4,0,0,0.1,0.06,0.13,0.56,0.0,0,2,1.0,0.6,1.33,0.52,0.73,0,6,0,2,5,4,4,4,4,0.25,0.92,0.0
random_graph_3_250_0.05_0_4.col,250,2998,0.08,11.99,0.1,11,32,23,24,21,27,0.18,0.92,0.04,0.08,0.06,0.05,0.06,0.0,0.0,0,20,0,1,0.74,0.71,0.78,0.09,0.16,11,23,17.96,15.9,20.24,0.17,0.95,0,20,0,2,4,3,3,3,4,0.24,0.92,0.0
random_graph_3_250_0.35_25_4.col,250,16798,0.01,67.19,0.54,70,181,134,133,112,164,0.22,0.96,0.08,0.1,0.1,0.09,0.1,0.0,0.0,0,24,0,0,0.77,0.7,0.86,0.11,0.0,65,122,102.39,94.61,113.81,0.13,0.94,0,40,0,1,6,2,3,2,4,0.6,0.87,1.0
random_graph_3_500_0.35_0_2.col,500,74025,0.01,148.05,0.59,159,368,296,302,246,357,0.2,0.92,0.32,0.39,0.36,0.36,0.38,0.0,0.0,55,196,0,1,0.83,0.75,0.94,0.11,0.07,159,277,250.89,228.18,267.37,0.11,0.9,2,205,4,1,3,2,2,2,3,0.23,0.57,63.0
random_graph_4_250_0.9_50_4.col,250,26793,0.01,107.17,0.86,180,231,214,218,211,222,0.06,0.91,0.09,0.12,0.1,0.1,0.1,0.0,0.0,0,29,0,0,0.86,0.86,0.86,0.01,0.0,157,198,187.35,181.39,191.24,0.05,0.91,0,69,0,1,5,2,3,2,3,0.39,0.72,1.0
random_graph_3_1000_0.7_50_4.col,1000,437080,0.0,437.08,0.88,601,994,874,891,794,976,0.12,0.89,0.05,0.05,0.05,0.05,0.05,0.0,0.0,4,50,0,0,0.9,0.87,0.93,0.04,0.0,584,869,809.51,737.76,851.19,0.09,0.9,45,99,57,1,5,2,3,2,4,0.63,0.95,108.0
random_graph_1_100_0.1_20_1.col,100,487,0.21,4.87,0.1,4,22,9,10,8,11,0.31,0.87,0.02,0.04,0.03,0.02,0.03,0.0,0.01,0,4,0,0,0.08,0.05,0.11,0.56,0.0,0,2,0.88,0.57,1.16,0.55,0.67,0,5,0,3,5,4,4,4,4,0.16,0.86,0.0
random_graph_3_100_0.35_20_1.col,100,2720,0.04,27.2,0.55,30,69,54,60,44,64,0.22,0.94,0.15,0.19,0.17,0.17,0.17,0.0,0.01,0,19,0,0,0.78,0.73,0.87,0.11,0.0,28,51,44.11,37.87,47.74,0.14,0.93,0,28,0,1,5,2,3,2,3,0.45,0.8,0.0
random_graph_1_250_0.5_50_4.col,250,14975,0.02,59.9,0.48,90,146,119,120,113,127,0.08,0.94,0.02,0.04,0.03,0.03,0.03,0.0,0.0,0,10,0,0,0.48,0.48,0.49,0.01,0.0,43,70,57.64,54.56,61.07,0.08,0.9,0,37,0,2,6,3,4,3,4,0.29,0.78,0.0
random_graph_1_500_0.9_0_4.col,500,112469,0.0,224.94,0.9,427,470,449,450,446,455,0.01,0.89,0.07,0.09,0.08,0.08,0.08,0.0,0.0,1,44,0,0,0.9,0.9,0.9,0.0,0.0,384,423,405.85,401.77,409.9,0.01,0.9,4,181,7,1,4,2,3,2,3,0.29,0.63,14.0
random_graph_4_1000_0.1_0_2.col,1000,49950,0.02,49.95,0.1,74,133,99,100,93,106,0.1,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.1,0.1,0.04,0.0,7,13,9.98,9.27,10.71,0.11,0.77,0,27,8,3,5,4,4,4,5,0.17,0.92,10.0
random_graph_1_500_0.1_100_4.col,500,12217,0.04,24.43,0.1,33,71,48,49,44,53,0.14,0.91,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0,5,0,0,0.1,0.09,0.1,0.09,0.0,2,6,4.8,4.3,5.3,0.16,0.74,0,16,0,3,5,4,4,4,5,0.15,0.79,1.0
random_graph_3_100_0.05_10_1.col,100,432,0.23,4.32,0.09,3,16,8,8,7,10,0.33,0.89,0.03,0.09,0.06,0.05,0.07,0.0,0.01,0,9,0,0,0.72,0.62,0.79,0.17,0.0,2,11,5.38,4.55,7.08,0.35,0.89,0,11,0,1,5,3,4,1,4,0.54,0.94,0.0
random_graph_3_250_0.05_25_3.col,250,2851,0.09,11.4,0.09,6,35,22,24,19,27,0.25,0.92,0.02,0.05,0.04,0.04,0.04,0.0,0.0,0,12,0,0,0.7,0.65,0.75,0.1,0.0,5,22,16.36,13.19,18.43,0.21,0.9,0,14,0,2,6,3,4,3,4,0.37,0.89,0.0
random_graph_4_100_0.5_0_3.col,100,2475,0.04,24.75,0.5,37,60,49,50,46,53,0.1,0.91,0.05,0.08,0.07,0.06,0.07,0.0,0.01,0,8,0,0,0.5,0.49,0.51,0.03,0.0,19,29,25.15,22.89,26.43,0.1,0.93,0,22,0,2,3,2,2,2,3,0.23,0.9,0.0
random_graph_4_100_0.5_20_2.col,100,2357,0.04,23.57,0.48,32,60,47,48,44,50,0.11,0.91,0.04,0.08,0.06,0.05,0.06,0.0,0.01,0,8,0,0,0.48,0.47,0.49,0.03,0.0,16,28,22.39,20.88,23.93,0.11,0.87,0,19,0,1,4,2,3,2,3,0.36,0.76,0.0
random_graph_1_1000_0.9_0_2.col,1000,449671,0.0,449.67,0.9,867,930,899,899,892,906,0.01,0.9,0.04,0.05,0.05,0.04,0.05,0.0,0.0,12,52,0,0,0.9,0.9,0.9,0.0,0.0,780,837,809.44,803.38,815.57,0.01,0.9,47,321,63,1,3,2,2,2,2,0.07,0.09,124.0
random_graph_4_500_0.5_100_3.col,500,60918,0.01,121.84,0.49,196,281,243,244,236,253,0.05,0.93,0.01,0.02,0.02,0.02,0.02,0.0,0.0,0,11,0,0,0.49,0.49,0.49,0.01,0.0,96,137,119.14,114.95,122.74,0.05,0.89,1,68,4,2,6,3,4,3,4,0.3,0.8,6.0
random_graph_1_100_0.9_20_2.col,100,4276,0.02,42.76,0.86,79,92,85,86,84,87,0.03,0.92,0.13,0.18,0.15,0.15,0.16,0.0,0.01,0,18,0,0,0.86,0.86,0.86,0.0,0.0,68,79,73.79,72.19,75.2,0.03,0.92,0,33,0,1,3,2,2,2,3,0.3,0.8,0.0
random_graph_1_1000_0.5_0_1.col,1000,250184,0.0,250.18,0.5,449,555,500,501,489,511,0.03,0.92,0.01,0.01,0.01,0.01,0.01,0.0,0.0,1,13,0,0,0.5,0.5,0.5,0.0,0.0,225,277,250.92,245.12,255.76,0.03,0.88,17,127,40,2,6,3,3,2,4,0.31,0.79,59.0
random_graph_4_1000_0.1_50_1.col,1000,48942,0.02,48.94,0.1,70,127,97,98,91,104,0.1,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.09,0.1,0.05,0.0,6,13,9.57,8.86,10.25,0.11,0.71,0,26,8,4,7,5,5,5,6,0.19,0.93,9.0
random_graph_1_100_0.1_0_4.col,100,509,0.2,5.09,0.1,5,17,10,10,8,12,0.27,0.94,0.02,0.03,0.03,0.02,0.03,0.0,0.01,0,3,0,0,0.1,0.08,0.13,0.5,0.0,0,2,1.08,0.74,1.25,0.45,0.74,0,6,0,2,2,2,2,2,2,0.0,0.0,0.0
random_graph_1_1000_0.9_100_3.col,1000,439240,0.0,439.24,0.88,784,925,878,887,873,896,0.03,0.9,0.03,0.04,0.04,0.04,0.04,0.0,0.0,9,44,0,0,0.88,0.88,0.88,0.0,0.0,695,813,779.76,767.54,788.11,0.03,0.89,46,255,61,1,5,2,2,2,3,0.27,0.43,119.0
random_graph_3_100_0.05_0_4.col,100,477,0.21,4.77,0.1,3,15,9,9,7,12,0.32,0.91,0.03,0.12,0.07,0.06,0.09,0.0,0.01,0,12,0,1,0.76,0.67,0.84,0.16,0.37,2,11,6.93,5.4,8.62,0.33,0.93,0,12,0,1,6,3,4,2,5,0.52,0.91,0.0
random_graph_4_1000_0.9_50_2.col,1000,440483,0.0,440.48,0.88,838,918,880,881,873,889,0.01,0.91,0.03,0.04,0.04,0.04,0.04,0.0,0.0,7,42,0,0,0.88,0.88,0.88,0.0,0.0,738,809,776.89,769.72,783.44,0.01,0.9,47,169,61,1,4,2,2,2,3,0.3,0.63,117.0
random_graph_1_250_0.9_0_4.col,250,28095,0.01,112.38,0.9,210,240,224,225,222,228,0.02,0.89,0.1,0.15,0.12,0.12,0.13,0.0,0.0,0,38,0,0,0.9,0.9,0.9,0.0,0.0,189,216,203.04,200.25,205.78,0.02,0.88,0,99,0,1,3,2,2,2,2,0.14,0.28,1.0
random_graph_1_1000_0.1_100_2.col,1000,49139,0.02,49.14,0.1,67,127,98,98,92,105,0.1,0.92,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0.1,0.1,0.1,0.04,0.0,6,13,9.64,9.0,10.38,0.11,0.7,0,26,8,4,7,5,6,5,6,0.16,0.84,9.0
random_graph_4_1000_0.9_100_4.col,1000,439098,0.0,439.1,0.88,783,925,878,886,872,896,0.03,0.91,0.03,0.04,0.04,0.04,0.04,0.0,0.0,9,45,0,0,0.88,0.88,0.88,0.0,0.0,693,813,778.77,766.16,787.11,0.03,0.9,46,244,62,1,9,2,3,2,3,0.5,0.51,119.0
random_graph_3_1000_0.05_0_3.col,1000,48587,0.02,48.59,0.1,55,123,97,100,90,107,0.14,0.91,0.04,0.07,0.06,0.05,0.06,0.0,0.0,35,67,0,1,0.75,0.73,0.77,0.08,0.06,50,86,75.09,68.68,80.5,0.11,0.92,0,68,7,4,6,5,6,5,6,0.16,0.93,43.0
random_graph_3_1000_0.7_100_2.col,1000,451751,0.0,451.75,0.9,691,997,903,937,828,989,0.11,0.86,0.1,0.1,0.1,0.1,0.1,0.0,0.0,16,100,0,0,0.93,0.9,0.97,0.03,0.0,684,901,868.58,799.67,894.09,0.08,0.86,48,199,59,1,7,2,3,2,4,0.67,0.83,125.0
random_graph_4_100_0.1_10_4.col,100,420,0.24,4.2,0.08,2,19,8,8,7,10,0.36,0.89,0.02,0.03,0.03,0.02,0.03,0.0,0.01,0,3,0,1,0.09,0.05,0.13,1.06,0.08,0,2,0.8,0.4,1.1,0.61,0.71,0,5,0,2,5,3,4,3,5,0.39,0.96,0.0
random_graph_3_100_0.7_0_4.col,100,4563,0.02,45.63,0.92,72,99,91,97,83,99,0.1,0.7,0.72,0.76,0.73,0.73,0.73,0.0,0.0,0,76,0,1,0.93,0.92,0.98,0.03,0.37,72,91,90.3,81.77,91.1,0.07,0.71,0,76,0,1,3,1,1,1,2,0.49,0.61,0.0
random_graph_3_250_0.7_50_3.col,250,27367,0.01,109.47,0.88,150,248,218,223,201,243,0.11,0.89,0.17,0.19,0.18,0.18,0.18,0.0,0.0,0,47,0,0,0.89,0.88,0.93,0.03,0.0,145,217,202.66,186.3,213.72,0.09,0.9,0,81,0,1,4,1,2,1,2,0.68,0.73,1.0
random_graph_1_1000_0.1_50_1.col,1000,48624,0.02,48.62,0.1,65,133,97,97,91,103,0.09,0.9,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0.1,0.09,0.1,0.05,0.0,6,13,9.51,8.77,10.12,0.1,0.69,0,27,8,3,5,3,4,3,4,0.21,0.85,9.0
random_graph_4_100_0.1_20_3.col,100,457,0.22,4.57,0.09,2,17,9,9,7,11,0.31,0.89,0.02,0.03,0.03,0.02,0.03,0.0,0.01,0,3,0,1,0.09,0.04,0.13,1.14,0.08,0,2,0.83,0.4,1.26,0.66,0.7,0,6,0,2,5,4,4,4,4,0.25,0.92,0.0
